obs, insertion, bubble, selection, merge, type
74, .089, 1.510, 2.913, .202, Array
75, 8.010, .374, 15.793, .242, List
75, .089, 1.562, 2.981, .199, Array
76, 8.617, .424, 16.166, .265, List
76, .090, 1.583, 3.058, .204, Array
77, 8.367, .682, 26.048, .301, List
77, .090, 1.818, 3.123, .212, Array
78, 8.741, .386, 16.992, .257, List
78, .092, 1.677, 3.214, .212, Array
79, 9.899, .371, 17.539, .264, List
79, .092, 1.779, 3.340, .213, Array
80, 9.167, .412, 17.922, .276, List
80, .094, 1.817, 3.365, .217, Array
81, 9.829, .414, 18.486, .270, List
81, .102, 1.824, 3.469, .216, Array
82, 9.574, .406, 18.827, .269, List
82, .097, 1.870, 3.561, .226, Array
83, 10.163, .390, 19.593, .284, List
83, .097, 3.118, 7.071, .439, Array
84, 10.182, .370, 19.661, .271, List
84, .099, 1.934, 3.778, .233, Array
85, 10.444, .439, 20.271, .284, List
85, .102, 1.986, 3.806, .237, Array
86, 11.757, .416, 20.646, .280, List
86, .101, 2.011, 3.881, .236, Array
87, 11.147, .417, 21.328, .288, List
87, .100, 2.066, 3.995, .233, Array
88, 10.889, .405, 22.041, .294, List
88, .106, 2.137, 4.064, .245, Array
89, 17.288, .406, 21.982, .304, List
89, .104, 2.147, 4.129, .269, Array
90, 11.430, .449, 22.992, .312, List
90, .106, 2.191, 4.367, .276, Array
91, 11.620, .428, 23.713, .306, List
91, .105, 2.244, 4.320, .250, Array
92, 11.935, .492, 24.350, .672, List
92, .120, 2.300, 4.412, .272, Array
93, 12.217, .440, 24.428, .319, List
93, .109, 2.397, 4.518, .250, Array
94, 12.891, .484, 24.584, .327, List
94, .111, 2.489, 4.600, .252, Array
95, 12.710, .440, 49.717, .323, List
95, .111, 2.440, 4.701, .257, Array
96, 13.016, .502, 25.618, .600, List
96, .128, 2.532, 4.816, .264, Array
97, 13.299, .470, 27.459, .339, List
97, .113, 2.548, 4.953, .267, Array
98, 16.281, .514, 26.809, .342, List
98, .115, 2.610, 5.006, .266, Array
99, 14.743, .487, 27.463, .337, List
99, .114, 2.658, 5.100, .268, Array
100, 14.221, .421, 29.290, .457, List
100, .195, 2.793, 5.208, .278, Array
101, 14.993, .517, 28.645, .342, List
101, .118, 2.781, 5.448, .275, Array
102, 14.679, .488, 30.331, .361, List
102, .118, 2.813, 5.428, .275, Array
103, 15.275, .588, 30.140, .354, List
103, .119, 2.875, 5.530, .284, Array
104, 15.332, .552, 31.142, .347, List
104, .127, 2.921, 5.672, .283, Array
105, 15.565, .503, 31.014, .353, List
105, .122, 3.197, 5.751, .299, Array
106, 15.815, .600, 33.632, .368, List
106, .121, 3.127, 7.196, .440, Array
107, 16.252, .500, 32.621, .405, List
107, .123, 3.055, 5.959, .289, Array
108, 16.501, .594, 33.380, .373, List
108, .124, 3.156, 6.118, .299, Array
109, 17.168, .541, 34.894, .393, List
109, .131, 3.496, 6.770, .458, Array
110, 17.777, .503, 34.304, .372, List
110, .126, 3.243, 6.292, .309, Array
111, 17.463, .552, 36.571, .400, List
111, .175, 3.555, 6.422, .307, Array
112, 17.671, .546, 39.114, .376, List
112, .130, 3.363, 6.520, .304, Array
113, 18.121, .537, 35.605, .387, List
113, .130, 3.445, 6.634, .314, Array
114, 18.364, .553, 36.656, .395, List
114, .136, 3.470, 6.732, .318, Array
115, 18.963, .587, 37.587, .392, List
115, .133, 3.701, 6.861, .321, Array
116, 19.008, .552, 38.332, .392, List
116, .134, 3.604, 7.005, .316, Array
117, 19.811, .572, 38.194, .410, List
117, .139, 3.760, 7.131, .406, Array
118, 19.942, .564, 39.340, .396, List
118, .135, 3.731, 7.220, .327, Array
119, 20.279, .589, 39.558, .419, List
119, .137, 3.834, 7.406, .325, Array
120, 20.398, .561, 40.812, .421, List
120, .139, 3.872, 7.475, .328, Array
121, 20.908, .603, 41.002, .409, List
121, .140, 3.978, 7.618, .336, Array
122, 21.075, .563, 42.135, .424, List
122, .143, 3.999, 7.717, .341, Array
123, 21.862, .606, 43.321, .416, List
123, .142, 4.028, 7.886, .337, Array
124, 21.704, .581, 43.616, .425, List
124, .142, 4.128, 7.971, .371, Array
125, 22.003, .585, 57.551, .418, List
125, .144, 4.192, 8.244, .345, Array
126, 22.362, .629, 45.147, .435, List
126, .145, 4.245, 8.198, .347, Array
127, 22.943, .615, 45.586, .436, List
127, .145, 4.338, 8.370, .350, Array
128, 23.375, .613, 45.930, .466, List
128, .152, 4.412, 8.554, .353, Array
129, 23.488, .669, 46.710, .464, List
129, .147, 4.460, 8.686, .359, Array
130, 24.626, .662, 47.760, .449, List
130, .150, 4.496, 8.763, .356, Array
131, 24.565, .594, 48.220, .492, List
131, .149, 4.596, 8.900, .360, Array
132, 24.566, .669, 49.448, .455, List
132, .156, 4.675, 9.034, .363, Array
133, 27.179, .618, 64.599, .459, List
133, .152, 4.703, 9.155, .362, Array
134, 25.289, .681, 50.047, .450, List
134, .154, 4.812, 9.368, .365, Array
135, 25.705, .691, 51.533, .473, List
135, .157, 4.884, 9.426, .369, Array
136, 26.024, .751, 52.654, .479, List
136, .156, 4.954, 9.586, .384, Array
137, 26.508, .709, 52.483, .481, List
137, .157, 4.979, 9.727, .376, Array
138, 27.696, .657, 53.578, .468, List
138, .160, 5.224, 10.034, .382, Array
139, 27.119, .574, 54.262, .468, List
139, .158, 5.114, 9.974, .385, Array
140, 27.591, .712, 55.150, .512, List
140, .161, 5.260, 10.157, .386, Array
141, 28.592, .567, 70.185, .474, List
141, .164, 5.240, 10.239, .387, Array
142, 28.316, .669, 56.952, .480, List
142, .162, 5.377, 10.384, .389, Array
143, 28.714, .713, 57.001, .489, List
143, .163, 5.441, 10.622, .400, Array
144, 29.734, .776, 58.463, .510, List
144, .165, 5.604, 10.741, .389, Array
145, 29.517, .705, 58.705, .497, List
145, .167, 5.556, 10.806, .395, Array
146, 30.089, 1.130, 60.021, .518, List
146, .168, 5.593, 10.973, .404, Array
147, 30.200, .638, 60.447, .500, List
147, .168, 5.688, 12.584, .403, Array
148, 31.665, .742, 61.056, .514, List
148, .169, 5.754, 11.227, .400, Array
149, 32.383, .626, 61.784, .527, List
149, .185, 5.880, 11.434, .404, Array
150, 31.462, .770, 62.713, .522, List
150, .172, 5.952, 11.542, .411, Array
151, 31.900, .733, 64.210, .521, List
151, .180, 6.030, 11.686, .407, Array
152, 32.340, .783, 64.716, .522, List
152, .179, 6.093, 11.853, .413, Array
153, 32.864, .758, 75.276, .528, List
153, .177, 6.187, 12.067, .414, Array
154, 34.638, .788, 66.291, .541, List
154, .177, 6.276, 12.178, .420, Array
155, 33.671, .815, 66.759, .578, List
155, .182, 6.361, 12.347, .426, Array
156, 34.254, .765, 68.552, .539, List
156, .180, 6.418, 12.527, .424, Array
157, 34.528, .662, 69.634, .535, List
157, .180, 7.633, 12.696, .429, Array
158, 35.040, .712, 69.963, .549, List
158, .182, 6.569, 12.801, .453, Array
159, 35.365, .669, 70.718, .555, List
159, .184, 6.628, 12.881, .431, Array
160, 35.728, 1.286, 71.706, .576, List
160, .183, 6.793, 13.098, .450, Array
161, 37.327, .861, 71.925, .558, List
161, .189, 6.818, 13.274, 3.020, Array
162, 37.635, .752, 72.522, .562, List
162, .188, 6.855, 13.423, .446, Array
163, 37.090, .733, 74.568, .556, List
163, .188, 6.957, 13.553, .441, Array
164, 37.418, .866, 74.511, .560, List
164, .190, 7.009, 13.699, .452, Array
165, 38.143, .851, 75.123, .584, List
165, .192, 7.157, 13.875, .444, Array
166, 39.137, .794, 76.325, .586, List
166, .192, 7.224, 14.042, .448, Array
167, 38.764, .833, 76.860, .583, List
167, .194, 7.289, 14.239, .451, Array
168, 39.233, .844, 78.503, .585, List
168, .200, 7.371, 14.365, .508, Array
169, 40.852, 1.421, 78.626, .584, List
169, .195, 7.439, 14.514, .460, Array
170, 40.097, .753, 79.903, .580, List
170, .194, 7.503, 14.691, .468, Array
171, 40.538, .842, 81.015, .586, List
171, .197, 7.632, 15.568, .483, Array
172, 41.253, .932, 82.210, .603, List
172, .199, 7.741, 15.043, .465, Array
173, 41.996, .829, 82.839, .615, List
173, .202, 7.851, 15.220, .466, Array
174, 42.425, 1.003, 83.907, .603, List
174, .202, 7.905, 15.414, .464, Array
175, 43.643, .908, 84.674, .611, List
175, .204, 8.029, 15.586, .469, Array
176, 44.269, .850, 92.960, .613, List
176, .205, 8.106, 15.976, .470, Array
177, 44.110, .898, 92.723, .613, List
177, .209, 8.203, 15.965, .476, Array
178, 45.774, .955, 87.854, .618, List
178, .208, 8.301, 16.161, .476, Array
179, 46.838, .798, 88.627, .660, List
179, .211, 8.377, 16.315, .480, Array
180, 46.564, .922, 89.656, .629, List
180, .211, 8.438, 16.540, .481, Array
181, 80.910, .955, 92.882, .705, List
181, .208, 8.695, 20.096, .485, Array
182, 47.131, .781, 91.527, .629, List
182, .217, 8.605, 16.975, .494, Array
183, 49.496, 1.002, 92.579, .647, List
183, .211, 8.768, 17.093, .491, Array
184, 48.711, .907, 94.050, .633, List
184, .216, 8.857, 17.292, .498, Array
185, 48.646, .998, 95.162, .663, List
185, .217, 8.987, 17.610, .501, Array
186, 49.097, .876, 95.601, .671, List
186, .219, 9.057, 17.626, .494, Array
187, 49.169, .895, 96.614, .641, List
187, .218, 9.177, 17.816, .501, Array
188, 50.783, .805, 97.556, .649, List
188, .217, 9.214, 17.995, .507, Array
189, 50.976, .794, 98.714, .666, List
189, .227, 9.266, 18.111, .505, Array
190, 51.978, .925, 99.865, .664, List
190, .221, 9.354, 18.322, .510, Array
191, 52.560, .882, 100.610, .665, List
191, .221, 9.661, 18.538, .519, Array
192, 53.730, .888, 101.507, .663, List
192, .224, 9.565, 18.781, .521, Array
193, 52.598, .951, 102.721, .681, List
193, .225, 9.659, 18.972, .518, Array
194, 54.858, .986, 106.402, .685, List
194, .225, 9.793, 19.097, .518, Array
195, 53.920, 1.037, 105.302, .687, List
195, .227, 9.928, 19.416, .517, Array
196, 55.198, .940, 106.481, .708, List
196, .228, 10.011, 19.545, .556, Array
197, 56.209, .991, 108.924, .739, List
197, .229, 10.122, 19.966, .543, Array
198, 57.233, .951, 108.815, .693, List
198, .232, 10.225, 19.974, .535, Array
199, 56.051, .926, 111.537, .707, List
199, .233, 10.350, 20.137, .541, Array
200, 57.150, .945, 110.507, .699, List
200, .235, 10.416, 20.350, .534, Array
201, 58.294, 1.059, 111.795, .711, List
201, .242, 10.838, 20.622, .540, Array
202, 59.106, .931, 112.774, .696, List
202, .236, 10.580, 20.819, .551, Array
